question_contains_api,question_score,question_favorites,question_views,question_user_rep,question_age,question_answer_count,question_user_accept_rate,question_user_is_reg,question_contains_code,question_edited,question_size,answer_score,answer_age,answer_question_time_dff,answer_user_reputation,answer_user_accept_rate,answer_user_is_reg,answer_contains_code,answer_accepted_or_edit,answer_rank,answer_size,sent_codeblock,sent_total_tokens,sent_position,sent_api_position,sent_start_islower,sent_code_char_count,sent_contains_html_tags,sent_tagged_token_percent,sent_max_cosine,sent_avg_cosine,sentence,isMeaningful
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,5128,5753,0,56152,60,True,True,True,1,29,False,29,0,61,False,39,True,3.448275862,0.48928088,0.27713394,<p>You can use the following instruction:</p> <pre><code>new ArrayList&lt;&gt;(Arrays.asList(array)); </code></pre>,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,False,7,0,0,False,0,False,0.0,0.2753096,0.10291291,<p>Given:</p>,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,True,38,15,0,False,84,True,7.894736842,0.48932812,0.27546462,<pre><code>Element[] array = new Element[] { new Element(1)  new Element(2)  new Element(3) }; </code></pre>,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,False,9,125,0,False,0,False,0.0,0.6010159,0.42364487,<p>The simplest answer is to do:</p>,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,True,20,163,0,False,43,True,15.0,0.4357671,0.16651285,<pre><code>List&lt;Element&gt; list = Arrays.asList(array); </code></pre>,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,False,7,238,0,False,0,False,0.0,0.5861994,0.47729364,<p>This will work fine.,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,False,7,263,0,False,0,False,0.0,0.46486682,0.32735783,But some caveats:</p>,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,False,14,295,0,False,0,True,14.28571429,0.63556135,0.5086967,The list returned from asList has <strong>fixed size</strong>.,yes
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,False,37,359,128,False,9,True,10.81081081,0.85773575,0.66762537,So  if you want to be able to add or remove elements from the returned list in your code  you ll need to wrap it in a new <code>ArrayList</code>.,yes
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,False,7,506,0,False,0,True,14.28571429,0.4889667,0.3516485,Otherwise you ll get an <code>,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,False,8,536,0,False,0,False,12.5,0.21264102,0.04970645,UnsupportedOperationException</code>.</li> <li>,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,False,18,583,0,False,8,True,5.555555556,0.7427449,0.621314,The list returned from <code>asList()</code> is backed by the original array.,yes
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,False,15,662,0,False,0,False,0.0,0.89649665,0.7297278,If you modify the original array  the list will be modified as well.,yes
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,1008,5753,0,69793,70,True,True,True,2,202,False,5,732,0,False,0,False,0.0,0.8221328,0.611159,This may be surprising.,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,404,4245,1507,22607,100,True,True,True,3,1093,False,40,0,0,False,0,True,7.5,0.5677687,0.44717303,<p><em><sup>(old thread  but just 2 cents as none mention Guava or other libs and some other details)</sup></em></p> <h1>If You Can  Use Guava</h1> <p>,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,404,4245,1507,22607,100,True,True,True,3,1093,False,31,151,0,False,0,True,9.677419355,0.5075425,0.37925196,It s worth pointing out the Guava way  which greatly simplifies these shenanigans:</p> <h2>Usage</h2> <h3>For an Immutable List</h3> <p>,no
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,404,4245,1507,22607,100,True,True,True,3,1093,False,59,287,0,False,25,True,10.16949153,0.31524488,0.13527311,Use the <a href= https://github.com/google/guava/blob/master/guava/src/com/google/common/collect/ImmutableList.java  rel= noreferrer ><code>ImmutableList</code></a> class and its <a href= https://github.com/google/guava/blob/master/guava/src/com/google/common/collect/ImmutableList.java#L108  rel= noreferrer ><code>of()</code></a> and <a href= https://github.com/google/guava/blob/master/guava/src/com/google/common/collect/ImmutableList.java#L235  rel= noreferrer ><code>copyOf()</code></a>,no
