question_contains_api,question_score,question_favorites,question_views,question_user_rep,question_age,question_answer_count,question_user_accept_rate,question_user_is_reg,question_contains_code,question_edited,question_size,answers,answer_score,answer_age,answer_question_time_dff,answer_user_reputation,answer_user_accept_rate,answer_user_is_reg,answer_contains_code,answer_accepted_or_edit,answer_rank,answer_size,sent_codeblock,sent_total_tokens,sent_position,sent_api_position,sent_start_islower,sent_code_char_count,sent_contains_html_tags,sent_tagged_token_percent,sent_max_cosine,sent_avg_cosine,sentence,sent_pos
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,[],5128,5753,0,56152,60,True,True,True,1,29,False,29,0,61,False,39,True,3.4482758620689653,0.48928088,0.27713394,"<p>You can use the following instruction:</p>
<pre><code>new ArrayList&lt;&gt;(Arrays.asList(array));
</code></pre>",NN PRP MD VB DT VBG NN : -LRB- NN -RRB- -LRB- NN -LRB- NNP FW : NN : -LRB- NNP NN -RRB- -RRB- : NFP NN NN -RRB-
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,[],1008,5753,0,69793,70,True,True,True,2,202,False,7,0,0,False,0,False,0.0,0.2753096,0.10291291,<p>Given:</p>,-LRB- NN VBN : -LRB- NN -RRB-
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,[],1008,5753,0,69793,70,True,True,True,2,202,True,38,15,0,False,84,True,7.894736842105263,0.48932812,0.27546462,"<pre><code>Element[] array = new Element[] { new Element(1), new Element(2), new Element(3) };
</code></pre>","-LRB- NN -RRB- -LRB- NN -RRB- NN -LRB- -RRB- NN SYM JJ NN -LRB- -RRB- : JJ NNP -LRB- CD -RRB- , JJ NN -LRB- CD -RRB- , JJ NN -LRB- CD -RRB- CD : ADD NN -RRB-"
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,[],1008,5753,0,69793,70,True,True,True,2,202,False,9,125,0,False,0,False,0.0,0.6010159,0.42364487,<p>The simplest answer is to do:</p>,`` DT JJS NN VBZ TO VB RB -RRB-
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,[],1008,5753,0,69793,70,True,True,True,2,202,True,20,163,0,False,43,True,15.0,0.4357671,0.16651285,"<pre><code>List&lt;Element&gt; list = Arrays.asList(array);
</code></pre>",-LRB- NN -RRB- -LRB- NN -RRB- : : NN : NN SYM NN NN -RRB- : NFP GW NN -RRB-
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,[],1008,5753,0,69793,70,True,True,True,2,202,False,7,238,0,False,0,False,0.0,0.5861994,0.47729364,<p>This will work fine.,NFP -RRB- DT MD VB JJ .
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,[],1008,5753,0,69793,70,True,True,True,2,202,False,7,263,0,False,0,False,0.0,0.46486682,0.32735783,But some caveats:</p>,CC DT NNS : -LRB- NN -RRB-
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,[],1008,5753,0,69793,70,True,True,True,2,202,False,6,286,0,False,0,False,0.0,0.26964343,0.08826263,"<ol>
<li>",-LRB- NN -RRB- -LRB- FW -RRB-
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,[],1008,5753,0,69793,70,True,True,True,2,202,False,14,295,0,False,0,True,14.285714285714285,0.63556135,0.5086967,The list returned from asList has <strong>fixed size</strong>.,DT NN VBD IN NNP VBZ -LRB- JJ -RRB- VBN NN SYM JJ -RRB-
True,4105,0,1853377,54328,5753,42,81,True,True,True,111,[],1008,5753,0,69793,70,True,True,True,2,202,False,37,359,128,False,9,True,10.81081081081081,0.85773575,0.66762537,"So, if you want to be able to add or remove elements from the returned list in your code, you'll need to wrap it in a new <code>ArrayList</code>.","RB , IN PRP VBP TO VB JJ TO VB CC VB NNS IN DT VBN NN IN PRP$ NN , PRP MD VB TO VB PRP IN DT JJ -LRB- NN -RRB- NN -LRB- , NN NFP"
