Issue Number,Issue Name,Date Opened,Issue Author,Date Closed,Closed By
66057,Basic regression: Predict fuel efficiency Probelm</bdi,19-Apr-24,illaoiiiii,Not closed,Not closed
65399,Documentation for RaggedTensors does not match Input layer documentation</bdi,10-Apr-24,damienwojtowicz,Not closed,Not closed
65317,[DOCS] Missing complex input for Round op</bdi,09-Apr-24,LucaTamSapienza,Not closed,Not closed
65160,Model.add_loss is not documented</bdi,05-Apr-24,piyushsrv,Not closed,Not closed
64817,efficient_serving.ipynb has some bugs</bdi,31-Mar-24,paya-alavi77,Not closed,Not closed
64810,Generating Images with BigGAN -- demo in docs no longer compatible with tensorflow (hub?)</bdi,30-Mar-24,janeon,Not closed,Not closed
64250,Could not interpret optimizer identifier: &lt;keras.src.optimizers.adam.Adam object</bdi,22-Mar-24,hilmyas,Not closed,Not closed
63093,Logic Error in experimental Unity Plugin HelloTFLite.cs Sample Code</bdi,29-Feb-24,Tom-James-Marsden,Not closed,Not closed
62922,Github link to tf.nest.map_structure is broken in the docs</bdi,08-Feb-24,chmendoza,Not closed,Not closed
62846,test bug</bdi,25-Jan-24,venkat926,Not closed,Not closed
62789,Incorrect Reduction Arguments in third_party/xla/xla/experiments/triton_autotuning/matmul_lib.py</bdi,13-Jan-24,K-Wu,Not closed,Not closed
62784,Tensorflow docs email address is invalid (docs@tensorflow.org)</bdi,11-Jan-24,neon60,Not closed,Not closed
62761,[bug] button 'view releases' has loading issue</bdi,09-Jan-24,soham2k06,Not closed,Not closed
62746,tensorflow-macos==2.15.0 still requesting ml-dtypes (~=0.2.0) instead of 0.3.1</bdi,06-Jan-24,mathpluscode,Not closed,Not closed
62718,Critical typo: squeeze the y_pred tensor even when it’s the same rank and shape as the y_pred tensor should be == instead of !=</bdi,02-Jan-24,rodriguesk,Not closed,Not closed
62626,"Build from source"" cuDNN documented version is not correct for TF 2.15.0</bdi""",12-Dec-23,mcourteaux,Not closed,Not closed
62601,"Errors/Warnings in documentation webpage https://www.tensorflow.org/tfx/transform/get_started#define_a_preprocessing_function""</bdi""",08-Dec-23,1ofseven,Not closed,Not closed
62590,Advisory GHSA-9jjw-hf72-3mxw contains invalid semver</bdi,07-Dec-23,crfrolik,Not closed,Not closed
62498,GPU installation docs woefully broken</bdi,28-Nov-23,FlorinAndrei,Not closed,Not closed
62389,tensorflow.org/versions points to latest version for 2.11 onwards</bdi,14-Nov-23,ageron,Not closed,Not closed
62271,Documentation of <code>tf.nn.depthwise_conv2d</code> fails to mention limitation on strides</bdi,29-Oct-23,burnpanck,Not closed,Not closed
62032,TF 2.14 minimum nvidia driver version</bdi,02-Oct-23,schrummy14,Not closed,Not closed
61861,Elu activation implementation </bdi,14-Sep-23,samthakur587,Not closed,Not closed
61801,Linux tensorflow build from source: bash failed genrule-setup.sh has carriage return</bdi,06-Sep-23,tomeeeS,Not closed,Not closed
61429,Keras docs source code links point to 404</bdi,31-Jul-23,grofte,Not closed,Not closed
61407,The issue of updating a formula.</bdi,27-Jul-23,liuanan,Not closed,Not closed
61375,tf.keras.callbacks.SidecarEvaluatorModelExport doc page looks broken.</bdi,25-Jul-23,DameNianch,Not closed,Not closed
61257,The legal value range of the alpha parameter in LeakyReLU</bdi,12-Jul-23,PhyllisJi,Not closed,Not closed
61256,The value range of dropout parameters and recurrent_dropout parameters of GRU/LSTM/SimpleRNN functions</bdi,12-Jul-23,PhyllisJi,Not closed,Not closed
61254,Documentation Bug about API ActivityRegularization</bdi,12-Jul-23,PhyllisJi,Not closed,Not closed
61233,site/en/guide/create_op.md example code has memory leak</bdi,10-Jul-23,spardda,Not closed,Not closed
61090,The relationship between the parameters of Conv2D is unclear</bdi,27-Jun-23,PhyllisJi,Not closed,Not closed
60921,Some parameters are missing type descriptions</bdi,19-Jun-23,cheyennee,Not closed,Not closed
60907,Typo in docs transfer_learning.ipynb</bdi,17-Jun-23,kentmchenry,Not closed,Not closed
60878,Mistype (mixed_bloat16) in the keras.mixed_precision.Policy class</bdi,15-Jun-23,antnsi,Not closed,Not closed
60839,Documentation Bug：the description of padding</bdi,12-Jun-23,PhyllisJi,Not closed,Not closed
60836,Image Segmenter | tflite-suuport | AttributeError: type object 'SegmentationOptions' has no attribute 'OutputType'</bdi,12-Jun-23,VIS-WA,Not closed,Not closed
60750,pip installation LD_LIBRARY_PATH order</bdi,01-Jun-23,jackyko1991,Not closed,Not closed
60531,"when argument batch_size is bool, tf.data.experimental.dense_to_ragged_batch works</bdi",08-May-23,cheyennee,Not closed,Not closed
60521,error message is inconsistent with documentation in tf.nn.leaky_relu</bdi,06-May-23,cheyennee,Not closed,Not closed
60504,Android Download page URL not available</bdi,05-May-23,TE-N-ElvenWang,Not closed,Not closed
60457,error message of tf.eye is inconsistent with doc</bdi,01-May-23,cheyennee,Not closed,Not closed
60449,error message of tf.constant_initializer is not accuracy</bdi,30-Apr-23,cheyennee,Not closed,Not closed
