Package,Java API,Question,SISE,CROKAGE,DocChameleon
applet,Applet,Loading and displaying local Images in Java Applet,"<p>If you re still seeing an  Illegal Escape Character  error on line 57  it s down to the string literal you re passing when instantiating <code>order</code>:</p>
Therefore  every time you use a back slash  the compiler thinks you re trying to escape the character that follows it.
<p>...the compiler is treating <code>\D</code> as a single escaped character rather than as two characters.
The compiler error you re seeing is telling you that it doesn t recognise some of the escaped characters (<code>\D</code>  <code>\A</code>  <code>\t</code>) in that string.
<p>The solution is to escape the escape character  e.g. prefix each backslash with a blackslash:</p>
<p>This tells the compiler to treat the backslashes as backslashes  rather than as escape characters.
itself  then you can embed one into the other  for your specific case you can embed <strong>
<p>There are so many things wrong with the applets it is hard to know where to begin.
But let us concentrate 1st on a more sensible strategy to cause the change beteween one view and another.</p>
Instead of having two applets  have two panels that are swapped in a <code>CardLayout</code></li> <li>Instead of having both applets in one page  call <code>getAppletContext().
Presumably <code>secondAppletURL</code> is different to the URL of the page that hosts the first applet.</li> </ol>
Don t try to set the size of an applet.
method might be called repeatedly.
As a stylistic point  it is typically better to create an anonymous inner <code>ActionListener</code>
than implement it on the parent class.</li> <li>Overriding <code>paint()</code> with an empty implementation is not a good idea.
The methods in the <code>actionPerformed()</code> are equally nonsensical.
until after <code>init()</code> &amp; <code>start()</code> have been called  which would mean that calling those methods explicitly causes them to be invoked a second time.
method is meant to be called multiple times  the <code>init()</code>
<p>I had the very same problem and found a trick that need to be applied server side.
It seems that jars aren t cached if their mime type is incorrect.
<p>Another problem I found is related to a specific jar.
My archive parameter was listing many jars  but only a few were cached.
I found that all jars upto a specific one where cached  all remaining jars weren t cached at all.
While loading applet  I pressed  5  in its java console and found this message just after the last cached jar: cache: signed entry  missing from jar .
I still don t know what is wrong with this file  but I moved that jar at the end of the archive parameter list.
<p>Personally I solved the caching issues by using cache_archive and cache_version parameters docummented at <a href= 
<p>For me I had to remove the Jar files from the Archive tag and just have it in the cache_archive parameter  and specify the versions that way it doesn t piggy back to the server for last modified date</p>","It's likely the image can't be accessed from its current context, remember, applets normally run in a very tight security sandbox which prevents them from accessing files on the local/client file system.

You either need to load the images from the server the applet is been loaded from (using getDocument/CodeBase or a relative URL), or based on your example, as embedded an resource, for example

tileset_terrain = ImageIO.read(getClass().getResource(""/res/tileset_terrain.png""));
This assumes that the image is included within the Jar file under the /res directory.

If the image resides on the server from which the applet is been load, you could also use

try {
    URL url = new URL(getCodeBase(), ""res/tileset_terrain.png"");
    img = ImageIO.read(url);
} catch (IOException e) {
    e.printStackTrace();
}
Take a look at Reading/Loading images and What Applets Can and Cannot Do for more details.",
applet,Applet,Classloader in Applet: Cant access files,"<p>If you re still seeing an  Illegal Escape Character  error on line 57  it s down to the string literal you re passing when instantiating <code>order</code>:</p>
Therefore  every time you use a back slash  the compiler thinks you re trying to escape the character that follows it.
<p>...the compiler is treating <code>\D</code> as a single escaped character rather than as two characters.
The compiler error you re seeing is telling you that it doesn t recognise some of the escaped characters (<code>\D</code>  <code>\A</code>  <code>\t</code>) in that string.
<p>The solution is to escape the escape character  e.g. prefix each backslash with a blackslash:</p>
<p>This tells the compiler to treat the backslashes as backslashes  rather than as escape characters.
itself  then you can embed one into the other  for your specific case you can embed <strong>
<p>There are so many things wrong with the applets it is hard to know where to begin.
But let us concentrate 1st on a more sensible strategy to cause the change beteween one view and another.</p>
Instead of having two applets  have two panels that are swapped in a <code>CardLayout</code></li> <li>Instead of having both applets in one page  call <code>getAppletContext().
Presumably <code>secondAppletURL</code> is different to the URL of the page that hosts the first applet.</li> </ol>
Don t try to set the size of an applet.
method might be called repeatedly.
As a stylistic point  it is typically better to create an anonymous inner <code>ActionListener</code>
than implement it on the parent class.</li> <li>Overriding <code>paint()</code> with an empty implementation is not a good idea.
The methods in the <code>actionPerformed()</code> are equally nonsensical.
until after <code>init()</code> &amp; <code>start()</code> have been called  which would mean that calling those methods explicitly causes them to be invoked a second time.
method is meant to be called multiple times  the <code>init()</code>
<p>I had the very same problem and found a trick that need to be applied server side.
It seems that jars aren t cached if their mime type is incorrect.
<p>Another problem I found is related to a specific jar.
My archive parameter was listing many jars  but only a few were cached.
I found that all jars upto a specific one where cached  all remaining jars weren t cached at all.
While loading applet  I pressed  5  in its java console and found this message just after the last cached jar: cache: signed entry  missing from jar .
I still don t know what is wrong with this file  but I moved that jar at the end of the archive parameter list.
<p>Personally I solved the caching issues by using cache_archive and cache_version parameters docummented at <a href= 
<p>For me I had to remove the Jar files from the Archive tag and just have it in the cache_archive parameter  and specify the versions that way it doesn t piggy back to the server for last modified date</p>","Classloader hierarchy
Whenever a new JVM is started the bootstrap classloader is responsible to load key Java classes (from java.lang package) and other runtime classes to the memory first. The bootstrap classloader is a parent of all other classloaders. Consequently, it is the only one without a parent.

Next comes the extension classloader. It has the bootstrap classloader as parent and is responsible for loading classes from all .jar files kept in the java.ext.dirs path–these are available regardless of the JVM’s classpath.

The third and most important classloader from a developer’s perspective is the system classpath classloader, which is an immediate child of the extension classloader. It loads classes from directories and jar files specified by the CLASSPATH environment variable, java.class.path system property or -classpath command line option.

Classloader hierarchy

ClassLoader Namespace

In Java a class is uniquely identified using ClassLoader + Class as the same class may be loaded by two different class loaders.

Class A loaded by ClassLoader A != Class A loaded by ClassLoader B
How is it helpful?

It is helpful for defining different protection and access policies for different classloaders. Take an example of applet which is loaded using a different classloader, you would not want a third party application all access to your resources. So for security its important to maintain different namespaces.",
applet,Applet,How to access a file in a Java Applet?,"<p>If you re still seeing an  Illegal Escape Character  error on line 57  it s down to the string literal you re passing when instantiating <code>order</code>:</p>
Therefore  every time you use a back slash  the compiler thinks you re trying to escape the character that follows it.
<p>...the compiler is treating <code>\D</code> as a single escaped character rather than as two characters.
The compiler error you re seeing is telling you that it doesn t recognise some of the escaped characters (<code>\D</code>  <code>\A</code>  <code>\t</code>) in that string.
<p>The solution is to escape the escape character  e.g. prefix each backslash with a blackslash:</p>
<p>This tells the compiler to treat the backslashes as backslashes  rather than as escape characters.
itself  then you can embed one into the other  for your specific case you can embed <strong>
<p>There are so many things wrong with the applets it is hard to know where to begin.
But let us concentrate 1st on a more sensible strategy to cause the change beteween one view and another.</p>
Instead of having two applets  have two panels that are swapped in a <code>CardLayout</code></li> <li>Instead of having both applets in one page  call <code>getAppletContext().
Presumably <code>secondAppletURL</code> is different to the URL of the page that hosts the first applet.</li> </ol>
Don t try to set the size of an applet.
method might be called repeatedly.
As a stylistic point  it is typically better to create an anonymous inner <code>ActionListener</code>
than implement it on the parent class.</li> <li>Overriding <code>paint()</code> with an empty implementation is not a good idea.
The methods in the <code>actionPerformed()</code> are equally nonsensical.
until after <code>init()</code> &amp; <code>start()</code> have been called  which would mean that calling those methods explicitly causes them to be invoked a second time.
method is meant to be called multiple times  the <code>init()</code>
<p>I had the very same problem and found a trick that need to be applied server side.
It seems that jars aren t cached if their mime type is incorrect.
<p>Another problem I found is related to a specific jar.
My archive parameter was listing many jars  but only a few were cached.
I found that all jars upto a specific one where cached  all remaining jars weren t cached at all.
While loading applet  I pressed  5  in its java console and found this message just after the last cached jar: cache: signed entry  missing from jar .
I still don t know what is wrong with this file  but I moved that jar at the end of the archive parameter list.
<p>Personally I solved the caching issues by using cache_archive and cache_version parameters docummented at <a href= 
<p>For me I had to remove the Jar files from the Archive tag and just have it in the cache_archive parameter  and specify the versions that way it doesn t piggy back to the server for last modified date</p>","You need to wrap your code in AccessController.doPrivileged, like:

public class InJava extends Applet{

  public void sayHello() {

    final String parametro = getParameter(""parametro"");

    FileInputStream fis =  AccessController.doPrivileged(new PrivilegedAction<FileInputStream>() {
      public FileInputStream run() {
        try  {
          retrun new FileInputStream(parametro);
        } catch (IOException e)  {
          // handle exception
        }
      }
    });
  }
Make sure that your applet jar(s) are signed, and that you understand all other consequences of running an applet.",
swing,JPanel,how to set JFrame background transparent but JPanel or JLabel Background opaque?,"<p>If you are using JPanels  then are probably working with Swing.
<p>The image is now a swing component.
It becomes subject to layout conditions like any other component.</p>
Level; import java.util.logging.Logger; import javax.imageio.ImageIO; import javax.swing.
<p>Since I only have a finite number (about 10) images that I need to load using this method  it works quite well.
<p>I think there is no need to subclass of anything.
You can set an image into a Jlabel.
So  resize the Jlabel then fill it with an image.
<p>You can avoid rolling your own Component subclass completely by using the JXImagePanel class from the free <a href= https://swingx.java.net//  rel= noreferrer >SwingX</a> libraries.</p>
<p>You can subclass JPanel - here is an extract from my ImagePanel  which puts an image in any one of 5 locations  top/left  top/right  middle/middle  bottom/left or bottom/right:</p>
There shouldn t be any problem (other than any general problems you might have with very large images).</li> <li>
If you re talking about adding multiple images to a single panel  I would use <code>ImageIcon</code>s.
For a single image  I would think about making a custom subclass of <code>JPanel</code> and overriding its <code>paintComponent</code>
<p><code>JPanel</code> is almost always the wrong class to subclass.
<p>There is a slight problem with <code>ImageIcon</code> in that the constructor blocks reading the image.
Not really a problem when loading from the application jar  but maybe if you re potentially reading over a network connection.
<p>I m doing something very similar in a private project I m working on.
Thus far I ve generated images up to 1024x1024 without any problems (except memory) and can display them very quickly and without any performance problems.
<p>Overriding the paint method of JPanel subclass is overkill and requires more work than you need to do.
This reduces the amount of flashing done while you generate your images  and you can thread it.
<p>So then I use a JScrollPane to hold the MapLabel  which contains only the MapIcon.
<p>But for your scenario (just show the whole image every time).
You need to add the MapLabel to the top JPanel  and make sure to size them all to the full size of the image (by overriding the GetPreferredSize()).
<p>Set an <code>EmptyBorder</code> around your <code>JPanel</code>.<br>
generally you add padding with the layout manager you are using.
There are cases that you can just expand the border of the <code>JPanel</code>.</p>
<p>I will suppose your JPanel contains JTextField  for the sake of the demo.</p>
method which seems to be what you re looking for.</p>
Since it doesn t have to keep the elements sorted  <code>LinkedHashMap</code>
This will allow you not to leak specific implementations into your API and switch to either of those specific classes or a completely different implementation at will afterwards.</p>
<p>LinkedHashMap will return the elements in the order they were inserted into the map when you iterate over the keySet()  entrySet() or values() of the map.
Obviously put and remove are not supported.
<p>You can use <strong>LinkedHashMap</strong> to main insertion order in Map</p> <p>
LinkedHashMap contains values based on the key.</p> </li> <li><p>
<p>You can maintain a <code>Map</code> (for fast lookup) and <code>List</code> (for order) but a <code>LinkedHashMap</code>
may be the simplest.
<ul> <li>Insertion order is maintained  by using LinkedHashMap internally.</li> <li>Keys with <code>null</code>
Once key with value is created  we are not overriding its value.</li> </ul>
@SuppressWarnings({  rawtypes    unchecked  }) public class CustomHashMap&lt;K  V&gt; implements CustomMap&lt;K  V&gt; {     private Map&lt;K  V&gt; entryMap;     // SET: Adds the specified element to this set if it is not already present.
@Override     public boolean insertionRule(K key  V value) {         // KEY as null and EMPTY String is not allowed.
If key already available then  we are not overriding its value.
<p>If you know the KEY s are fixed then you can use EnumMap.
http://www.java2s.com/Code/Java/Collections-Data-Structure/ArrayMapextendsAbstractMap.htm  rel= nofollow noreferrer >this implementation of Map using ArrayList</a>.
It seems to be pre-1.5 Java  so you might want to genericize it  which should be easy.
Note that this implementation has O(N) access  but this shouldn t be a problem if you don t add hundreds of widgets to your JPanel  which you shouldn t anyway.</p>
<p>Whenever i need to maintain the natural order of things that are known ahead of time  i use a <a href= 
<p>the keys will be enums and you can insert in any order you want but when you iterate it will iterate in the enum order (the natural order).
<p>Also when using EnumMap there should be no collisions which can be more efficient.
<p>I really find that using enumMap makes for clean readable code.
<p>LinkedHashMap is used for maintaing insertion order.
The LinkedHashMap class of the Collections framework is the Hashtable and LinkedList implementation of the Map interface.
<p>The problem is  a component can only reside in a single container  once  so doing something like...</p>
<p>What I would suggest you do is create a  wrapper  or  card  panel which can contain the two images.
<p>Yes  it is most definitely possible to do this.
<p>Then you have an error in your code  but unfortunately based on code you ve posted I doubt that any of us can do more than just guess.
If you need more specific help  then you will want to post a small runnable example that demonstrates your problem  an <a href= http://sscce.org  rel= nofollow >sscce</a>.</p>","I found another solution.

Set the background color of your frame to

// Set the frame background color to a transparent color
yourFrameHere.setBackground(new Color(0, 0, 0, 0));
And remember to set the opacity off of the contentpane (your JPanel or other component)

// turn off opacity of the content pane
yourContentPaneHere.setOpaque(false);",
swing,JPanel,How to set a transparent background of JPanel?,"<p>If you are using JPanels  then are probably working with Swing.
<p>The image is now a swing component.
It becomes subject to layout conditions like any other component.</p>
Level; import java.util.logging.Logger; import javax.imageio.ImageIO; import javax.swing.
<p>Since I only have a finite number (about 10) images that I need to load using this method  it works quite well.
<p>I think there is no need to subclass of anything.
You can set an image into a Jlabel.
So  resize the Jlabel then fill it with an image.
<p>You can avoid rolling your own Component subclass completely by using the JXImagePanel class from the free <a href= https://swingx.java.net//  rel= noreferrer >SwingX</a> libraries.</p>
<p>You can subclass JPanel - here is an extract from my ImagePanel  which puts an image in any one of 5 locations  top/left  top/right  middle/middle  bottom/left or bottom/right:</p>
There shouldn t be any problem (other than any general problems you might have with very large images).</li> <li>
If you re talking about adding multiple images to a single panel  I would use <code>ImageIcon</code>s.
For a single image  I would think about making a custom subclass of <code>JPanel</code> and overriding its <code>paintComponent</code>
<p><code>JPanel</code> is almost always the wrong class to subclass.
<p>There is a slight problem with <code>ImageIcon</code> in that the constructor blocks reading the image.
Not really a problem when loading from the application jar  but maybe if you re potentially reading over a network connection.
<p>I m doing something very similar in a private project I m working on.
Thus far I ve generated images up to 1024x1024 without any problems (except memory) and can display them very quickly and without any performance problems.
<p>Overriding the paint method of JPanel subclass is overkill and requires more work than you need to do.
This reduces the amount of flashing done while you generate your images  and you can thread it.
<p>So then I use a JScrollPane to hold the MapLabel  which contains only the MapIcon.
<p>But for your scenario (just show the whole image every time).
You need to add the MapLabel to the top JPanel  and make sure to size them all to the full size of the image (by overriding the GetPreferredSize()).
<p>Set an <code>EmptyBorder</code> around your <code>JPanel</code>.<br>
generally you add padding with the layout manager you are using.
There are cases that you can just expand the border of the <code>JPanel</code>.</p>
<p>I will suppose your JPanel contains JTextField  for the sake of the demo.</p>
method which seems to be what you re looking for.</p>
Since it doesn t have to keep the elements sorted  <code>LinkedHashMap</code>
This will allow you not to leak specific implementations into your API and switch to either of those specific classes or a completely different implementation at will afterwards.</p>
<p>LinkedHashMap will return the elements in the order they were inserted into the map when you iterate over the keySet()  entrySet() or values() of the map.
Obviously put and remove are not supported.
<p>You can use <strong>LinkedHashMap</strong> to main insertion order in Map</p> <p>
LinkedHashMap contains values based on the key.</p> </li> <li><p>
<p>You can maintain a <code>Map</code> (for fast lookup) and <code>List</code> (for order) but a <code>LinkedHashMap</code>
may be the simplest.
<ul> <li>Insertion order is maintained  by using LinkedHashMap internally.</li> <li>Keys with <code>null</code>
Once key with value is created  we are not overriding its value.</li> </ul>
@SuppressWarnings({  rawtypes    unchecked  }) public class CustomHashMap&lt;K  V&gt; implements CustomMap&lt;K  V&gt; {     private Map&lt;K  V&gt; entryMap;     // SET: Adds the specified element to this set if it is not already present.
@Override     public boolean insertionRule(K key  V value) {         // KEY as null and EMPTY String is not allowed.
If key already available then  we are not overriding its value.
<p>If you know the KEY s are fixed then you can use EnumMap.
http://www.java2s.com/Code/Java/Collections-Data-Structure/ArrayMapextendsAbstractMap.htm  rel= nofollow noreferrer >this implementation of Map using ArrayList</a>.
It seems to be pre-1.5 Java  so you might want to genericize it  which should be easy.
Note that this implementation has O(N) access  but this shouldn t be a problem if you don t add hundreds of widgets to your JPanel  which you shouldn t anyway.</p>
<p>Whenever i need to maintain the natural order of things that are known ahead of time  i use a <a href= 
<p>the keys will be enums and you can insert in any order you want but when you iterate it will iterate in the enum order (the natural order).
<p>Also when using EnumMap there should be no collisions which can be more efficient.
<p>I really find that using enumMap makes for clean readable code.
<p>LinkedHashMap is used for maintaing insertion order.
The LinkedHashMap class of the Collections framework is the Hashtable and LinkedList implementation of the Map interface.
<p>The problem is  a component can only reside in a single container  once  so doing something like...</p>
<p>What I would suggest you do is create a  wrapper  or  card  panel which can contain the two images.
<p>Yes  it is most definitely possible to do this.
<p>Then you have an error in your code  but unfortunately based on code you ve posted I doubt that any of us can do more than just guess.
If you need more specific help  then you will want to post a small runnable example that demonstrates your problem  an <a href= http://sscce.org  rel= nofollow >sscce</a>.</p>","You could use setOpaque() to make the background of the JPanel transparent, but then you couldn't draw over the rectangles that you wanted to make transparent.

So another way of doing it would be to make a BufferedImage and draw the rectangles on that image and then add that BufferedImage to the JPanel.

import java.awt.AlphaComposite;
import java.awt.Color;
import java.awt.Component;
import java.awt.Dimension;
import java.awt.Graphics;
import java.awt.Graphics2D;
import java.awt.event.ActionEvent;
import java.awt.event.KeyEvent;
import java.awt.image.BufferedImage;
import java.beans.Transient;
import java.io.File;
import java.io.IOException;

import javax.imageio.ImageIO;
import javax.swing.AbstractAction;
import javax.swing.JFrame;
import javax.swing.JPanel;
import javax.swing.KeyStroke;


public class Showcase extends JFrame {

    BufferedImage img;

    public static void main(String[] args) {
        Showcase window = new Showcase();
    }

    public Showcase() {
        setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);

        final JPanel contentPane = new JPanel();
        contentPane.setBackground(Color.CYAN);
        setContentPane(contentPane);


        final TestPane tP = new TestPane();
        contentPane.add(tP);

        // make new buffered image
        img = new BufferedImage(tP.getPreferredSize().width, 
                tP.getPreferredSize().height, BufferedImage.TYPE_INT_ARGB);

        setVisible(true);
        pack();
    }

    @Override
    public Dimension getPreferredSize() {
        return new Dimension(500, 300);
    }

    public class TestPane extends JPanel{

        @Override
        protected void paintComponent(Graphics g) {              
            Graphics2D g2 = (Graphics2D) g;

            Graphics2D imgG2 = img.createGraphics();

            // make img background transparent
            imgG2.setBackground(new Color(0,0,0,0));

            imgG2.setColor(Color.red);
            imgG2.fillRect(0, 0, 100, 100);

            imgG2.clearRect(0, 0, 50, 50);

            imgG2.dispose();

            // draw buffered image to jpanel
            g2.drawImage(img, 0, 0, null);

            g2.dispose();

            super.paintComponent(g);   
        }

        @Override
        @Transient
        public Dimension getPreferredSize() {
            return new Dimension(100, 100);
        }
    }
}",
swing,JPanel,How to make JFrame background and JPanel transparent with only image showing,"<p>If you are using JPanels  then are probably working with Swing.
<p>The image is now a swing component.
It becomes subject to layout conditions like any other component.</p>
Level; import java.util.logging.Logger; import javax.imageio.ImageIO; import javax.swing.
<p>Since I only have a finite number (about 10) images that I need to load using this method  it works quite well.
<p>I think there is no need to subclass of anything.
You can set an image into a Jlabel.
So  resize the Jlabel then fill it with an image.
<p>You can avoid rolling your own Component subclass completely by using the JXImagePanel class from the free <a href= https://swingx.java.net//  rel= noreferrer >SwingX</a> libraries.</p>
<p>You can subclass JPanel - here is an extract from my ImagePanel  which puts an image in any one of 5 locations  top/left  top/right  middle/middle  bottom/left or bottom/right:</p>
There shouldn t be any problem (other than any general problems you might have with very large images).</li> <li>
If you re talking about adding multiple images to a single panel  I would use <code>ImageIcon</code>s.
For a single image  I would think about making a custom subclass of <code>JPanel</code> and overriding its <code>paintComponent</code>
<p><code>JPanel</code> is almost always the wrong class to subclass.
<p>There is a slight problem with <code>ImageIcon</code> in that the constructor blocks reading the image.
Not really a problem when loading from the application jar  but maybe if you re potentially reading over a network connection.
<p>I m doing something very similar in a private project I m working on.
Thus far I ve generated images up to 1024x1024 without any problems (except memory) and can display them very quickly and without any performance problems.
<p>Overriding the paint method of JPanel subclass is overkill and requires more work than you need to do.
This reduces the amount of flashing done while you generate your images  and you can thread it.
<p>So then I use a JScrollPane to hold the MapLabel  which contains only the MapIcon.
<p>But for your scenario (just show the whole image every time).
You need to add the MapLabel to the top JPanel  and make sure to size them all to the full size of the image (by overriding the GetPreferredSize()).
<p>Set an <code>EmptyBorder</code> around your <code>JPanel</code>.<br>
generally you add padding with the layout manager you are using.
There are cases that you can just expand the border of the <code>JPanel</code>.</p>
<p>I will suppose your JPanel contains JTextField  for the sake of the demo.</p>
method which seems to be what you re looking for.</p>
Since it doesn t have to keep the elements sorted  <code>LinkedHashMap</code>
This will allow you not to leak specific implementations into your API and switch to either of those specific classes or a completely different implementation at will afterwards.</p>
<p>LinkedHashMap will return the elements in the order they were inserted into the map when you iterate over the keySet()  entrySet() or values() of the map.
Obviously put and remove are not supported.
<p>You can use <strong>LinkedHashMap</strong> to main insertion order in Map</p> <p>
LinkedHashMap contains values based on the key.</p> </li> <li><p>
<p>You can maintain a <code>Map</code> (for fast lookup) and <code>List</code> (for order) but a <code>LinkedHashMap</code>
may be the simplest.
<ul> <li>Insertion order is maintained  by using LinkedHashMap internally.</li> <li>Keys with <code>null</code>
Once key with value is created  we are not overriding its value.</li> </ul>
@SuppressWarnings({  rawtypes    unchecked  }) public class CustomHashMap&lt;K  V&gt; implements CustomMap&lt;K  V&gt; {     private Map&lt;K  V&gt; entryMap;     // SET: Adds the specified element to this set if it is not already present.
@Override     public boolean insertionRule(K key  V value) {         // KEY as null and EMPTY String is not allowed.
If key already available then  we are not overriding its value.
<p>If you know the KEY s are fixed then you can use EnumMap.
http://www.java2s.com/Code/Java/Collections-Data-Structure/ArrayMapextendsAbstractMap.htm  rel= nofollow noreferrer >this implementation of Map using ArrayList</a>.
It seems to be pre-1.5 Java  so you might want to genericize it  which should be easy.
Note that this implementation has O(N) access  but this shouldn t be a problem if you don t add hundreds of widgets to your JPanel  which you shouldn t anyway.</p>
<p>Whenever i need to maintain the natural order of things that are known ahead of time  i use a <a href= 
<p>the keys will be enums and you can insert in any order you want but when you iterate it will iterate in the enum order (the natural order).
<p>Also when using EnumMap there should be no collisions which can be more efficient.
<p>I really find that using enumMap makes for clean readable code.
<p>LinkedHashMap is used for maintaing insertion order.
The LinkedHashMap class of the Collections framework is the Hashtable and LinkedList implementation of the Map interface.
<p>The problem is  a component can only reside in a single container  once  so doing something like...</p>
<p>What I would suggest you do is create a  wrapper  or  card  panel which can contain the two images.
<p>Yes  it is most definitely possible to do this.
<p>Then you have an error in your code  but unfortunately based on code you ve posted I doubt that any of us can do more than just guess.
If you need more specific help  then you will want to post a small runnable example that demonstrates your problem  an <a href= http://sscce.org  rel= nofollow >sscce</a>.</p>","I try it on my computer and image is showing up on icon. If you want show the image on background try this :

import java.awt.Image;
import java.awt.Toolkit;
import javax.swing.*;

        public class Caine extends JFrame{
        //the pictures
        ImageIcon guy = new ImageIcon(""tester.gif"");
        JLabel pn = new JLabel(guy);
        JPanel panel = new JPanel();

        Caine(){
            super(""Photuris Lucicrescens"");

            //Important
            setSize(700,600);
            setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
            add(panel);
            setVisible(true);
            JLabel im = new JLabel(new ImageIcon(""iconImage.gif""));
            setIconImage(customIcon);
            panel.add(im);
            add(pn);
        }
        }",
swing,JFrame,java: How to add Transparent Gradient Background to JFrame,"By allowing separate <code>JFrame</code>s  you give your end-user the ability to spread out and control what s on his/her screen.
For modeless dialogs  pass a null parent to the constructor  but locate them relative to their  parent  window.
<p>To switch between this <code>JPanel</code>s use <code>JMenuBar</code> with <code>JMenuItems</code> for each <code>JPanel</code>or  JButton<code>for each</code>JPanel`.</p>","I found another solution.

Set the background color of your frame to

// Set the frame background color to a transparent color
yourFrameHere.setBackground(new Color(0, 0, 0, 0));
And remember to set the opacity off of the contentpane (your JPanel or other component)

// turn off opacity of the content pane
yourContentPaneHere.setOpaque(false);",
swing,JFrame,Swing: Obtain Image of JFrame,"By allowing separate <code>JFrame</code>s  you give your end-user the ability to spread out and control what s on his/her screen.
For modeless dialogs  pass a null parent to the constructor  but locate them relative to their  parent  window.
<p>To switch between this <code>JPanel</code>s use <code>JMenuBar</code> with <code>JMenuItems</code> for each <code>JPanel</code>or  JButton<code>for each</code>JPanel`.</p>","I believe you are looking for internal frames.

For the background image bit, sublass JPanel, override its paintComponent() method, and blit your image there. Then set an instance of that panel as your JFrame's content pane.

public class BackgroundPanel extends JPanel {
    private BufferedImage bgImg;

    public BackgroundPanel() {
        try {
            bgImg = ImageIO.read(BackgroundPanel.class.getResourceAsStream(
                    ""mybackgroundimage.png""));
        } catch (IOException ex) {
            System.err.println(""Could not load background image!"");
            ex.printStackTrace();
        }
    }

    @Override
    protected void paintComponent(Graphics g) {
        super.paintComponent(g);
        if (bgImg != null) {
            g.drawImage(bgImg, 0, 0, null);
        }
    }
}

public class MyJFrame extends JFrame {

    public MyJFrame() {
        setContentPane(new BackgroundPanel());
    }

}",
swing,JFrame,Transparent JFrame background,"By allowing separate <code>JFrame</code>s  you give your end-user the ability to spread out and control what s on his/her screen.
For modeless dialogs  pass a null parent to the constructor  but locate them relative to their  parent  window.
<p>To switch between this <code>JPanel</code>s use <code>JMenuBar</code> with <code>JMenuItems</code> for each <code>JPanel</code>or  JButton<code>for each</code>JPanel`.</p>","You should make content pane transparent too.

frame.setUndecorated(true);
frame.getContentPane().setBackground(new Color(1.0f,1.0f,1.0f,0.0f));
frame.setBackground(new Color(1.0f,1.0f,1.0f,0.0f));",
swing,JFrame,java: How to add Transparent Gradient Background to JFrame,"By allowing separate <code>JFrame</code>s  you give your end-user the ability to spread out and control what s on his/her screen.
For modeless dialogs  pass a null parent to the constructor  but locate them relative to their  parent  window.
<p>To switch between this <code>JPanel</code>s use <code>JMenuBar</code> with <code>JMenuItems</code> for each <code>JPanel</code>or  JButton<code>for each</code>JPanel`.</p>","I found another solution.

Set the background color of your frame to

// Set the frame background color to a transparent color
yourFrameHere.setBackground(new Color(0, 0, 0, 0));
And remember to set the opacity off of the contentpane (your JPanel or other component)

// turn off opacity of the content pane
yourContentPaneHere.setOpaque(false);",
