,question,contexts,context_relevancy
0,Loading and displaying local Images in Java Applet,['<p>If you re still seeing an  Illegal Escape Character  error on line 57  it s down to the string literal you re passing when instantiating <code>order</code>:</p>\nTherefore  every time you use a back slash  the compiler thinks you re trying to escape the character that follows it.\n<p>...the compiler is treating <code>\\D</code> as a single escaped character rather than as two characters.\nThe compiler error you re seeing is telling you that it doesn t recognise some of the escaped characters (<code>\\D</code>  <code>\\A</code>  <code>\\t</code>) in that string.\n<p>The solution is to escape the escape character  e.g. prefix each backslash with a blackslash:</p>\n<p>This tells the compiler to treat the backslashes as backslashes  rather than as escape characters.\nitself  then you can embed one into the other  for your specific case you can embed <strong>\n<p>There are so many things wrong with the applets it is hard to know where to begin.\nBut let us concentrate 1st on a more sensible strategy to cause the change beteween one view and another.</p>\nInstead of having two applets  have two panels that are swapped in a <code>CardLayout</code></li> <li>Instead of having both applets in one page  call <code>getAppletContext().\nPresumably <code>secondAppletURL</code> is different to the URL of the page that hosts the first applet.</li> </ol>\nDon t try to set the size of an applet.\nmethod might be called repeatedly.\nAs a stylistic point  it is typically better to create an anonymous inner <code>ActionListener</code>\nthan implement it on the parent class.</li> <li>Overriding <code>paint()</code> with an empty implementation is not a good idea.\nThe methods in the <code>actionPerformed()</code> are equally nonsensical.\nuntil after <code>init()</code> &amp; <code>start()</code> have been called  which would mean that calling those methods explicitly causes them to be invoked a second time.\nmethod is meant to be called multiple times  the <code>init()</code>\n<p>I had the very same problem and found a trick that need to be applied server side.\nIt seems that jars aren t cached if their mime type is incorrect.\n<p>Another problem I found is related to a specific jar.\nMy archive parameter was listing many jars  but only a few were cached.\nI found that all jars upto a specific one where cached  all remaining jars weren t cached at all.\nWhile loading applet  I pressed  5  in its java console and found this message just after the last cached jar: cache: signed entry  missing from jar .\nI still don t know what is wrong with this file  but I moved that jar at the end of the archive parameter list.\n<p>Personally I solved the caching issues by using cache_archive and cache_version parameters docummented at <a href= \n<p>For me I had to remove the Jar files from the Archive tag and just have it in the cache_archive parameter  and specify the versions that way it doesn t piggy back to the server for last modified date</p>'],0.16666666666666666
1,Classloader in Applet: Cant access files,['<p>If you re still seeing an  Illegal Escape Character  error on line 57  it s down to the string literal you re passing when instantiating <code>order</code>:</p>\nTherefore  every time you use a back slash  the compiler thinks you re trying to escape the character that follows it.\n<p>...the compiler is treating <code>\\D</code> as a single escaped character rather than as two characters.\nThe compiler error you re seeing is telling you that it doesn t recognise some of the escaped characters (<code>\\D</code>  <code>\\A</code>  <code>\\t</code>) in that string.\n<p>The solution is to escape the escape character  e.g. prefix each backslash with a blackslash:</p>\n<p>This tells the compiler to treat the backslashes as backslashes  rather than as escape characters.\nitself  then you can embed one into the other  for your specific case you can embed <strong>\n<p>There are so many things wrong with the applets it is hard to know where to begin.\nBut let us concentrate 1st on a more sensible strategy to cause the change beteween one view and another.</p>\nInstead of having two applets  have two panels that are swapped in a <code>CardLayout</code></li> <li>Instead of having both applets in one page  call <code>getAppletContext().\nPresumably <code>secondAppletURL</code> is different to the URL of the page that hosts the first applet.</li> </ol>\nDon t try to set the size of an applet.\nmethod might be called repeatedly.\nAs a stylistic point  it is typically better to create an anonymous inner <code>ActionListener</code>\nthan implement it on the parent class.</li> <li>Overriding <code>paint()</code> with an empty implementation is not a good idea.\nThe methods in the <code>actionPerformed()</code> are equally nonsensical.\nuntil after <code>init()</code> &amp; <code>start()</code> have been called  which would mean that calling those methods explicitly causes them to be invoked a second time.\nmethod is meant to be called multiple times  the <code>init()</code>\n<p>I had the very same problem and found a trick that need to be applied server side.\nIt seems that jars aren t cached if their mime type is incorrect.\n<p>Another problem I found is related to a specific jar.\nMy archive parameter was listing many jars  but only a few were cached.\nI found that all jars upto a specific one where cached  all remaining jars weren t cached at all.\nWhile loading applet  I pressed  5  in its java console and found this message just after the last cached jar: cache: signed entry  missing from jar .\nI still don t know what is wrong with this file  but I moved that jar at the end of the archive parameter list.\n<p>Personally I solved the caching issues by using cache_archive and cache_version parameters docummented at <a href= \n<p>For me I had to remove the Jar files from the Archive tag and just have it in the cache_archive parameter  and specify the versions that way it doesn t piggy back to the server for last modified date</p>'],0.16666666666666666
2,How to access a file in a Java Applet?,['<p>If you re still seeing an  Illegal Escape Character  error on line 57  it s down to the string literal you re passing when instantiating <code>order</code>:</p>\nTherefore  every time you use a back slash  the compiler thinks you re trying to escape the character that follows it.\n<p>...the compiler is treating <code>\\D</code> as a single escaped character rather than as two characters.\nThe compiler error you re seeing is telling you that it doesn t recognise some of the escaped characters (<code>\\D</code>  <code>\\A</code>  <code>\\t</code>) in that string.\n<p>The solution is to escape the escape character  e.g. prefix each backslash with a blackslash:</p>\n<p>This tells the compiler to treat the backslashes as backslashes  rather than as escape characters.\nitself  then you can embed one into the other  for your specific case you can embed <strong>\n<p>There are so many things wrong with the applets it is hard to know where to begin.\nBut let us concentrate 1st on a more sensible strategy to cause the change beteween one view and another.</p>\nInstead of having two applets  have two panels that are swapped in a <code>CardLayout</code></li> <li>Instead of having both applets in one page  call <code>getAppletContext().\nPresumably <code>secondAppletURL</code> is different to the URL of the page that hosts the first applet.</li> </ol>\nDon t try to set the size of an applet.\nmethod might be called repeatedly.\nAs a stylistic point  it is typically better to create an anonymous inner <code>ActionListener</code>\nthan implement it on the parent class.</li> <li>Overriding <code>paint()</code> with an empty implementation is not a good idea.\nThe methods in the <code>actionPerformed()</code> are equally nonsensical.\nuntil after <code>init()</code> &amp; <code>start()</code> have been called  which would mean that calling those methods explicitly causes them to be invoked a second time.\nmethod is meant to be called multiple times  the <code>init()</code>\n<p>I had the very same problem and found a trick that need to be applied server side.\nIt seems that jars aren t cached if their mime type is incorrect.\n<p>Another problem I found is related to a specific jar.\nMy archive parameter was listing many jars  but only a few were cached.\nI found that all jars upto a specific one where cached  all remaining jars weren t cached at all.\nWhile loading applet  I pressed  5  in its java console and found this message just after the last cached jar: cache: signed entry  missing from jar .\nI still don t know what is wrong with this file  but I moved that jar at the end of the archive parameter list.\n<p>Personally I solved the caching issues by using cache_archive and cache_version parameters docummented at <a href= \n<p>For me I had to remove the Jar files from the Archive tag and just have it in the cache_archive parameter  and specify the versions that way it doesn t piggy back to the server for last modified date</p>'],0.16666666666666666
3,how to set JFrame background transparent but JPanel or JLabel Background opaque?,['<p>If you are using JPanels  then are probably working with Swing.\n<p>The image is now a swing component.\nIt becomes subject to layout conditions like any other component.</p>\nLevel; import java.util.logging.Logger; import javax.imageio.ImageIO; import javax.swing.\n<p>Since I only have a finite number (about 10) images that I need to load using this method  it works quite well.\n<p>I think there is no need to subclass of anything.\nYou can set an image into a Jlabel.\nSo  resize the Jlabel then fill it with an image.\n<p>You can avoid rolling your own Component subclass completely by using the JXImagePanel class from the free <a href= https://swingx.java.net//  rel= noreferrer >SwingX</a> libraries.</p>\n<p>You can subclass JPanel - here is an extract from my ImagePanel  which puts an image in any one of 5 locations  top/left  top/right  middle/middle  bottom/left or bottom/right:</p>\nThere shouldn t be any problem (other than any general problems you might have with very large images).</li> <li>\nIf you re talking about adding multiple images to a single panel  I would use <code>ImageIcon</code>s.\nFor a single image  I would think about making a custom subclass of <code>JPanel</code> and overriding its <code>paintComponent</code>\n<p><code>JPanel</code> is almost always the wrong class to subclass.\n<p>There is a slight problem with <code>ImageIcon</code> in that the constructor blocks reading the image.\nNot really a problem when loading from the application jar  but maybe if you re potentially reading over a network connection.\n<p>I m doing something very similar in a private project I m working on.\nThus far I ve generated images up to 1024x1024 without any problems (except memory) and can display them very quickly and without any performance problems.\n<p>Overriding the paint method of JPanel subclass is overkill and requires more work than you need to do.\nThis reduces the amount of flashing done while you generate your images  and you can thread it.\n<p>So then I use a JScrollPane to hold the MapLabel  which contains only the MapIcon.\n<p>But for your scenario (just show the whole image every time).\nYou need to add the MapLabel to the top JPanel  and make sure to size them all to the full size of the image (by overriding the GetPreferredSize()).\n<p>Set an <code>EmptyBorder</code> around your <code>JPanel</code>.<br>\ngenerally you add padding with the layout manager you are using.\nThere are cases that you can just expand the border of the <code>JPanel</code>.</p>\n<p>I will suppose your JPanel contains JTextField  for the sake of the demo.</p>\nmethod which seems to be what you re looking for.</p>\nSince it doesn t have to keep the elements sorted  <code>LinkedHashMap</code>\nThis will allow you not to leak specific implementations into your API and switch to either of those specific classes or a completely different implementation at will afterwards.</p>\n<p>LinkedHashMap will return the elements in the order they were inserted into the map when you iterate over the keySet()  entrySet() or values() of the map.\nObviously put and remove are not supported.\n<p>You can use <strong>LinkedHashMap</strong> to main insertion order in Map</p> <p>\nLinkedHashMap contains values based on the key.</p> </li> <li><p>\n<p>You can maintain a <code>Map</code> (for fast lookup) and <code>List</code> (for order) but a <code>LinkedHashMap</code>\nmay be the simplest.\n<ul> <li>Insertion order is maintained  by using LinkedHashMap internally.</li> <li>Keys with <code>null</code>\nOnce key with value is created  we are not overriding its value.</li> </ul>\n@SuppressWarnings({  rawtypes    unchecked  }) public class CustomHashMap&lt;K  V&gt; implements CustomMap&lt;K  V&gt; {     private Map&lt;K  V&gt; entryMap;     // SET: Adds the specified element to this set if it is not already present.\n@Override     public boolean insertionRule(K key  V value) {         // KEY as null and EMPTY String is not allowed.\nIf key already available then  we are not overriding its value.\n<p>If you know the KEY s are fixed then you can use EnumMap.\nhttp://www.java2s.com/Code/Java/Collections-Data-Structure/ArrayMapextendsAbstractMap.htm  rel= nofollow noreferrer >this implementation of Map using ArrayList</a>.\nIt seems to be pre-1.5 Java  so you might want to genericize it  which should be easy.\nNote that this implementation has O(N) access  but this shouldn t be a problem if you don t add hundreds of widgets to your JPanel  which you shouldn t anyway.</p>\n<p>Whenever i need to maintain the natural order of things that are known ahead of time  i use a <a href= \n<p>the keys will be enums and you can insert in any order you want but when you iterate it will iterate in the enum order (the natural order).\n<p>Also when using EnumMap there should be no collisions which can be more efficient.\n<p>I really find that using enumMap makes for clean readable code.\n<p>LinkedHashMap is used for maintaing insertion order.\nThe LinkedHashMap class of the Collections framework is the Hashtable and LinkedList implementation of the Map interface.\n<p>The problem is  a component can only reside in a single container  once  so doing something like...</p>\n<p>What I would suggest you do is create a  wrapper  or  card  panel which can contain the two images.\n<p>Yes  it is most definitely possible to do this.\n<p>Then you have an error in your code  but unfortunately based on code you ve posted I doubt that any of us can do more than just guess.\nIf you need more specific help  then you will want to post a small runnable example that demonstrates your problem  an <a href= http://sscce.org  rel= nofollow >sscce</a>.</p>'],0.07246376811594203
4,How to set a transparent background of JPanel?,['<p>If you are using JPanels  then are probably working with Swing.\n<p>The image is now a swing component.\nIt becomes subject to layout conditions like any other component.</p>\nLevel; import java.util.logging.Logger; import javax.imageio.ImageIO; import javax.swing.\n<p>Since I only have a finite number (about 10) images that I need to load using this method  it works quite well.\n<p>I think there is no need to subclass of anything.\nYou can set an image into a Jlabel.\nSo  resize the Jlabel then fill it with an image.\n<p>You can avoid rolling your own Component subclass completely by using the JXImagePanel class from the free <a href= https://swingx.java.net//  rel= noreferrer >SwingX</a> libraries.</p>\n<p>You can subclass JPanel - here is an extract from my ImagePanel  which puts an image in any one of 5 locations  top/left  top/right  middle/middle  bottom/left or bottom/right:</p>\nThere shouldn t be any problem (other than any general problems you might have with very large images).</li> <li>\nIf you re talking about adding multiple images to a single panel  I would use <code>ImageIcon</code>s.\nFor a single image  I would think about making a custom subclass of <code>JPanel</code> and overriding its <code>paintComponent</code>\n<p><code>JPanel</code> is almost always the wrong class to subclass.\n<p>There is a slight problem with <code>ImageIcon</code> in that the constructor blocks reading the image.\nNot really a problem when loading from the application jar  but maybe if you re potentially reading over a network connection.\n<p>I m doing something very similar in a private project I m working on.\nThus far I ve generated images up to 1024x1024 without any problems (except memory) and can display them very quickly and without any performance problems.\n<p>Overriding the paint method of JPanel subclass is overkill and requires more work than you need to do.\nThis reduces the amount of flashing done while you generate your images  and you can thread it.\n<p>So then I use a JScrollPane to hold the MapLabel  which contains only the MapIcon.\n<p>But for your scenario (just show the whole image every time).\nYou need to add the MapLabel to the top JPanel  and make sure to size them all to the full size of the image (by overriding the GetPreferredSize()).\n<p>Set an <code>EmptyBorder</code> around your <code>JPanel</code>.<br>\ngenerally you add padding with the layout manager you are using.\nThere are cases that you can just expand the border of the <code>JPanel</code>.</p>\n<p>I will suppose your JPanel contains JTextField  for the sake of the demo.</p>\nmethod which seems to be what you re looking for.</p>\nSince it doesn t have to keep the elements sorted  <code>LinkedHashMap</code>\nThis will allow you not to leak specific implementations into your API and switch to either of those specific classes or a completely different implementation at will afterwards.</p>\n<p>LinkedHashMap will return the elements in the order they were inserted into the map when you iterate over the keySet()  entrySet() or values() of the map.\nObviously put and remove are not supported.\n<p>You can use <strong>LinkedHashMap</strong> to main insertion order in Map</p> <p>\nLinkedHashMap contains values based on the key.</p> </li> <li><p>\n<p>You can maintain a <code>Map</code> (for fast lookup) and <code>List</code> (for order) but a <code>LinkedHashMap</code>\nmay be the simplest.\n<ul> <li>Insertion order is maintained  by using LinkedHashMap internally.</li> <li>Keys with <code>null</code>\nOnce key with value is created  we are not overriding its value.</li> </ul>\n@SuppressWarnings({  rawtypes    unchecked  }) public class CustomHashMap&lt;K  V&gt; implements CustomMap&lt;K  V&gt; {     private Map&lt;K  V&gt; entryMap;     // SET: Adds the specified element to this set if it is not already present.\n@Override     public boolean insertionRule(K key  V value) {         // KEY as null and EMPTY String is not allowed.\nIf key already available then  we are not overriding its value.\n<p>If you know the KEY s are fixed then you can use EnumMap.\nhttp://www.java2s.com/Code/Java/Collections-Data-Structure/ArrayMapextendsAbstractMap.htm  rel= nofollow noreferrer >this implementation of Map using ArrayList</a>.\nIt seems to be pre-1.5 Java  so you might want to genericize it  which should be easy.\nNote that this implementation has O(N) access  but this shouldn t be a problem if you don t add hundreds of widgets to your JPanel  which you shouldn t anyway.</p>\n<p>Whenever i need to maintain the natural order of things that are known ahead of time  i use a <a href= \n<p>the keys will be enums and you can insert in any order you want but when you iterate it will iterate in the enum order (the natural order).\n<p>Also when using EnumMap there should be no collisions which can be more efficient.\n<p>I really find that using enumMap makes for clean readable code.\n<p>LinkedHashMap is used for maintaing insertion order.\nThe LinkedHashMap class of the Collections framework is the Hashtable and LinkedList implementation of the Map interface.\n<p>The problem is  a component can only reside in a single container  once  so doing something like...</p>\n<p>What I would suggest you do is create a  wrapper  or  card  panel which can contain the two images.\n<p>Yes  it is most definitely possible to do this.\n<p>Then you have an error in your code  but unfortunately based on code you ve posted I doubt that any of us can do more than just guess.\nIf you need more specific help  then you will want to post a small runnable example that demonstrates your problem  an <a href= http://sscce.org  rel= nofollow >sscce</a>.</p>'],0.07246376811594203
5,How to make JFrame background and JPanel transparent with only image showing,['<p>If you are using JPanels  then are probably working with Swing.\n<p>The image is now a swing component.\nIt becomes subject to layout conditions like any other component.</p>\nLevel; import java.util.logging.Logger; import javax.imageio.ImageIO; import javax.swing.\n<p>Since I only have a finite number (about 10) images that I need to load using this method  it works quite well.\n<p>I think there is no need to subclass of anything.\nYou can set an image into a Jlabel.\nSo  resize the Jlabel then fill it with an image.\n<p>You can avoid rolling your own Component subclass completely by using the JXImagePanel class from the free <a href= https://swingx.java.net//  rel= noreferrer >SwingX</a> libraries.</p>\n<p>You can subclass JPanel - here is an extract from my ImagePanel  which puts an image in any one of 5 locations  top/left  top/right  middle/middle  bottom/left or bottom/right:</p>\nThere shouldn t be any problem (other than any general problems you might have with very large images).</li> <li>\nIf you re talking about adding multiple images to a single panel  I would use <code>ImageIcon</code>s.\nFor a single image  I would think about making a custom subclass of <code>JPanel</code> and overriding its <code>paintComponent</code>\n<p><code>JPanel</code> is almost always the wrong class to subclass.\n<p>There is a slight problem with <code>ImageIcon</code> in that the constructor blocks reading the image.\nNot really a problem when loading from the application jar  but maybe if you re potentially reading over a network connection.\n<p>I m doing something very similar in a private project I m working on.\nThus far I ve generated images up to 1024x1024 without any problems (except memory) and can display them very quickly and without any performance problems.\n<p>Overriding the paint method of JPanel subclass is overkill and requires more work than you need to do.\nThis reduces the amount of flashing done while you generate your images  and you can thread it.\n<p>So then I use a JScrollPane to hold the MapLabel  which contains only the MapIcon.\n<p>But for your scenario (just show the whole image every time).\nYou need to add the MapLabel to the top JPanel  and make sure to size them all to the full size of the image (by overriding the GetPreferredSize()).\n<p>Set an <code>EmptyBorder</code> around your <code>JPanel</code>.<br>\ngenerally you add padding with the layout manager you are using.\nThere are cases that you can just expand the border of the <code>JPanel</code>.</p>\n<p>I will suppose your JPanel contains JTextField  for the sake of the demo.</p>\nmethod which seems to be what you re looking for.</p>\nSince it doesn t have to keep the elements sorted  <code>LinkedHashMap</code>\nThis will allow you not to leak specific implementations into your API and switch to either of those specific classes or a completely different implementation at will afterwards.</p>\n<p>LinkedHashMap will return the elements in the order they were inserted into the map when you iterate over the keySet()  entrySet() or values() of the map.\nObviously put and remove are not supported.\n<p>You can use <strong>LinkedHashMap</strong> to main insertion order in Map</p> <p>\nLinkedHashMap contains values based on the key.</p> </li> <li><p>\n<p>You can maintain a <code>Map</code> (for fast lookup) and <code>List</code> (for order) but a <code>LinkedHashMap</code>\nmay be the simplest.\n<ul> <li>Insertion order is maintained  by using LinkedHashMap internally.</li> <li>Keys with <code>null</code>\nOnce key with value is created  we are not overriding its value.</li> </ul>\n@SuppressWarnings({  rawtypes    unchecked  }) public class CustomHashMap&lt;K  V&gt; implements CustomMap&lt;K  V&gt; {     private Map&lt;K  V&gt; entryMap;     // SET: Adds the specified element to this set if it is not already present.\n@Override     public boolean insertionRule(K key  V value) {         // KEY as null and EMPTY String is not allowed.\nIf key already available then  we are not overriding its value.\n<p>If you know the KEY s are fixed then you can use EnumMap.\nhttp://www.java2s.com/Code/Java/Collections-Data-Structure/ArrayMapextendsAbstractMap.htm  rel= nofollow noreferrer >this implementation of Map using ArrayList</a>.\nIt seems to be pre-1.5 Java  so you might want to genericize it  which should be easy.\nNote that this implementation has O(N) access  but this shouldn t be a problem if you don t add hundreds of widgets to your JPanel  which you shouldn t anyway.</p>\n<p>Whenever i need to maintain the natural order of things that are known ahead of time  i use a <a href= \n<p>the keys will be enums and you can insert in any order you want but when you iterate it will iterate in the enum order (the natural order).\n<p>Also when using EnumMap there should be no collisions which can be more efficient.\n<p>I really find that using enumMap makes for clean readable code.\n<p>LinkedHashMap is used for maintaing insertion order.\nThe LinkedHashMap class of the Collections framework is the Hashtable and LinkedList implementation of the Map interface.\n<p>The problem is  a component can only reside in a single container  once  so doing something like...</p>\n<p>What I would suggest you do is create a  wrapper  or  card  panel which can contain the two images.\n<p>Yes  it is most definitely possible to do this.\n<p>Then you have an error in your code  but unfortunately based on code you ve posted I doubt that any of us can do more than just guess.\nIf you need more specific help  then you will want to post a small runnable example that demonstrates your problem  an <a href= http://sscce.org  rel= nofollow >sscce</a>.</p>'],0.07246376811594203
6,java: How to add Transparent Gradient Background to JFrame,['By allowing separate <code>JFrame</code>s  you give your end-user the ability to spread out and control what s on his/her screen.\nFor modeless dialogs  pass a null parent to the constructor  but locate them relative to their  parent  window.\n<p>To switch between this <code>JPanel</code>s use <code>JMenuBar</code> with <code>JMenuItems</code> for each <code>JPanel</code>or  JButton<code>for each</code>JPanel`.</p>'],1.0
7,Swing: Obtain Image of JFrame,['By allowing separate <code>JFrame</code>s  you give your end-user the ability to spread out and control what s on his/her screen.\nFor modeless dialogs  pass a null parent to the constructor  but locate them relative to their  parent  window.\n<p>To switch between this <code>JPanel</code>s use <code>JMenuBar</code> with <code>JMenuItems</code> for each <code>JPanel</code>or  JButton<code>for each</code>JPanel`.</p>'],1.0
8,Transparent JFrame background,['By allowing separate <code>JFrame</code>s  you give your end-user the ability to spread out and control what s on his/her screen.\nFor modeless dialogs  pass a null parent to the constructor  but locate them relative to their  parent  window.\n<p>To switch between this <code>JPanel</code>s use <code>JMenuBar</code> with <code>JMenuItems</code> for each <code>JPanel</code>or  JButton<code>for each</code>JPanel`.</p>'],1.0
9,Java Serializable Object to Byte Array,['<p>To add to the other answers  by implementating <code>java.io.Serializable</code>  you get  automatic  serialization capability for objects of your class.\nThe Java runtime will use reflection to figure out how to marshal and unmarshal your objects.</p>\n<p>In earlier version of Java  reflection was very slow  and so serializaing large object graphs (e.g. in client-server RMI applications) was a bit of a performance problem.\n<p>In recent versions of Java (1.3 onwards  certainly) the performance of reflection is vastly better than it used to be  and so this is much less of a problem.\n<p>Also  the built-in Java serialization mechanism isn t the only one  you can get third-party replacements  such as JBoss Serialization  which is considerably quicker  and is a drop-in replacement for the default.</p>\n<p>Serialization provides default functionality to store and later recreate the object.\nIn default serialization the object is constructed entirely from its stored bits  with no constructor calls.</p> <pre><code>  ObjectOutputStream oos = new ObjectOutputStream(       new FileOutputStream(&quot;/Users/Desktop/files/temp.txt&quot;));   oos.writeObject(linkedListHead); //writing head of linked list   oos.close(); </code></pre> <p>\nBut if you want restricted serialization or don t want some portion of your object to be serialized then use Externalizable.\nThe Externalizable interface extends the Serializable interface and adds two methods  writeExternal() and readExternal().\nWhile working with Externalizable we should remember that the default constructer should be public else the code will throw exception.\nHere if you comment the default constructer then the code will throw below exception:</p> <pre><code> java.io.InvalidClassException: javaserialization.\nWe can observe that as password is sensitive information  so i am not serializing it in writeExternal(ObjectOutput oo) method and not setting the value of same in readExternal(ObjectInput oi).\nWe can observe as we are not setting the value of passWord so it s null.</p> <p>\n<code>Externalizable</code> interface contains two methods: <code>writeExternal()</code> and <code>readExternal()</code>.</li> <li><strong>\nIncompatible changes to classes are those changes for which the guarantee of interoperability cannot be maintained like Deleting fields etc.</p> </blockquote> <ol start= 4 >\nYou can support different versions of your object.</li> <li><strong>public No-arg constructor</strong>:  <code>Serializable</code> uses reflection to construct object and does not require no arg constructor.\n<p>Serialization uses certain default behaviors to store and later recreate the object.\n<p>Externalization is used in the rare cases that you really want to store and rebuild your object in a completely different way and without using the default serialization mechanisms for data fields.\nA Java object is only serializable.\nMost of the java class are serializable</em>.</p>\n<p>Object Serialization produces a stream with information about the Java classes for the objects which are being saved.\nFor serializable objects  sufficient information is kept to restore those objects even if a different (but compatible) version of the implementation of the class is present.\nThe Serializable interface is defined to identify classes which implement the serializable protocol:</p>\nThe serialization interface has no methods or fields and serves only to identify the semantics of being serializable.\nFor serializing/deserializing a class  either we can use default writeObject and readObject methods (or) we can overriding writeObject and readObject methods from a class.</li>\nThe values of the non-transient and non-static fields of the class get serialized.</li> </ul>\n<p>For Externalizable objects  only the identity of the class of the object is saved by the container; the class must save and restore the contents.\nThe Externalizable interface has two methods  an externalizable object must implement a writeExternal and readExternal methods to save/restore the state of an object.</li> <li>\nProgrammer has to take care of which objects to be serialized.\nAs a programmer take care of Serialization So  here transient keyword will not restrict any object in Serialization process.</li> <li>\nWhen an Externalizable object is reconstructed  an instance is created using the public no-arg constructor  then the readExternal method called.\n<p>Default serialization is somewhat verbose  and assumes the widest possible usage scenario of the serialized object  and accordingly the default format (Serializable) annotates the resultant stream with information about the class of the serialized object.</p>\n<p>Externalization give the producer of the object stream complete control over the precise class meta-data (if any) beyond the minimal required identification of the class (e.g. its name).\nThis is clearly desirable in certain situations  such as closed environments  where producer of the object stream and its consumer (which reifies the object from the stream) are matched  and additional metadata about the class serves no purpose and degrades performance.</p>\n<p>Additionally (as Uri point out) externalization also provides for complete control over the encoding of the data in the stream corresponding to Java types.\nFor (a contrived) example  you may wish to record boolean true as  Y  and false as  N .\n<p>The Externalizable interface was not actually provided to optimize the serialization process performance!\nbut to provide means of implementing your own custom processing and offer complete control over the format and contents of the stream for an object and its super types!</p>\n<p>When considering options for improving performance  don t forget custom serialization.\nYou can let Java do what it does well  or at least good enough  <em>for free</em>  and provide custom support for what it does badly.\n<p>There are so many difference exist between Serializable and Externalizable but when we compare difference between custom Serializable(overrided writeObject() &amp; readObject()) and Externalizable  then we find that custom implementation is tightly bind with ObjectOutputStream class where as in Externalizable case   we ourself provide an implementation of ObjectOutput which may be ObjectOutputStream class or it could be some other like org.apache.mina.filter.codec.serialization.ObjectSerializationOutputStream</p>\nWe can comment below two method and use default serialization process as well              Sequence of class attributes in read and write methods MUST BE same.\nWe can define custom validation or business rules inside read/write methods.\nplease check in/out object case of Externalizable.\nWhere as Outstream/Instream are tightly bind to classes.\nWe can extends ObjectOutputStream/ObjectInputStream but it will a bit difficult to use.</p>\n<code>Externalizable</code> contains 2 methods  <code>readExternal</code> and <code>writeExternal</code>.\nallows the implementer to decide how an object is serialized  where as <code>Serializable</code>\n<p>For long-term persistence  the class must be able to decode this form  which restricts the changes you can make to class design.\n<p>Serialization can also lead to security problems.\nBy being able to serialize any object it has a reference to  a class can access data it would not normally be able to (by parsing the resultant byte data).</p>\n<p>There are other issues  such as the serialized form of inner classes not being well defined.</p>\nNet people got it wrong this time around  would have been better to make everything serializable by default and only need to mark those classes that can t be safely serialized instead.</p>\n<p>For example in Smalltalk (a language created in 70s) every object is serializable by default.\nI have no idea why this is not the case in Java  considering the fact that the vast majority of objects are safe to serialize and just a few of them aren t.\n<p>Marking an object as serializable (with an interface) doesn t magically make that object serializable  <strong>it was serializable all along</strong>  it s just that now you expressed something that the system could have found on his own  so I see no real good reason for serialization being the way it is now.</p>\n<p>Not everything is genuinely serializable.\nYou could serialize the data/state of your socket object  but the essence of an active connection would be lost.</p>\n<p>The main role of Serializable in Java is to actually make  by default  all other objects nonserializable.\nSerialization is a very dangerous mechanism  especially in its default implementation.\nHence  like friendship in C++  it is off by default  even if it costs a little to make things serializable.</p>\n<p>Serialization adds constraints and potential problems since structure compatibility is not insured.\nSo the effort you d spend making the class serializble properly dwarves the cost of adding the interface.\n<p>For some classes  especially those that represent something more physical like a File  a Socket  a Thread  or a DB connection  it makes absolutely no sense to serialize instances.\nFor many others  Serialization may be problematic because it destroys uniqueness constraints  or simply forces you to deal with instances of different versions of a class  which you may not want to.</p>\n<p>Arguably  it might have been better to make everything Serializable by default and make classes non-serializable through a keyword or marker interface - but then  those who should use that option probably would not think about it.\n<p>Apparently everything was serializable in some preliminary designs  but because of security and correctness concerns the final design ended up as we all know.</p>\n<p>Having to state explicitely that instances of a certain class are Serializable the language forces you to think about if you you should allow that.\nFor simple value objects serialization is trivial  but in more complex cases you need to really think things through.</p>\n<p>By just relying on the standard serialization support of the JVM you expose yourself to all kinds of nasty versioning issues.</p>\n<p>Uniqueness  references to  real  resources  timers and lots of other types of artifacts are NOT candidates for serialization.</p>\nOther languages happily try serializing everything that doesn t jump on a tree after you ve counted to 10.\nAn Object should default to be serializable.\n<p>So  what you basically need to do is read all the properties of your 3rd-party class yourself.'],0.15841584158415842
